,url,header,location,price,Boligtype,Eieform bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Tomteareal,Fellesgjeld,Omkostninger,Totalpris,Felleskost/mnd.,Energimerking,Rom,Kommunale avg.,Pris med fellesgjeld,Grunnflate,Tomt,Bruttoareal,Utleiedel,Solgtpris,Boligselgerforsikring,Renovert år
620,https://www.finn.no/realestate/homes/ad.html?finnkode=204696823,Innholdsrik og lys 3-roms med balkong og parkeringsplass | V.v + Fyring Inkl. |Ca. 500m til tog og buss.,"Kristoffer Robins vei 22, 0978 Oslo",3100000,Leilighet,Andel,2,73 m²,81.0,1,1968,,194 000 kr,8 658 kr,3302658.0,4 372 kr,,3,,,,,,,,,
621,https://www.finn.no/realestate/homes/ad.html?finnkode=204470703,Meget pen og stor 2-roms topp- og endeleilighet (3. etg) med sydvestvendt balkong. Vv/fyr inkl. Bør ses!,"Havreveien 40, 0680 Oslo",3400000,Leilighet,Andel,1,57 m²,57.0,3,1960,,113 000 kr,15 554 kr,3528554.0,3 583 kr,D -gul,,,,,,,,,,
622,https://www.finn.no/realestate/homes/ad.html?finnkode=204904395,Lys og attraktiv 2-roms selveier fra 2006 m/sydvendt terrasse på 20kvm. Sentral og skjermet beliggenhet ved Akerselva!,"Lillogata 5 R, 0484 Oslo",4200000,Leilighet,Eier (Selveier),1,50 m²,52.0,,2006,3305 m² (eiet),,116 542 kr,4316542.0,1 584 kr,D -rød,,,,,,,,,,
623,https://www.finn.no/realestate/homes/ad.html?finnkode=203708215,Gjennomgående selveierleilighet på 93kvm(bta)-Oppussingsobjekt-Ledig omgående-Sentralt og tilbaketrukket på Majorstuen,"Schønings gate 25 c, 0362 Oslo",6750000,Leilighet,Eier (Selveier),1,82 m²,84.0,1,1924,,179 168 kr,193 490 kr,7122658.0,4 293 kr,F -oransje,,,,,,,,,,
624,https://www.finn.no/realestate/homes/ad.html?finnkode=204708143,"Sjelden ende- /frontleilighet. 3 soverom, 2 bad, vestvendt terrasse 14 kvm. Nydelig utsikt. Heis, peis, garasjeplass.","Sognsvannsveien 27 A, 0372 Oslo",12500000,Leilighet,Eier (Selveier),3,129 m²,132.0,2,2004,15287 m² (eiet),,324 042 kr,12824042.0,5 200 kr,,,,,,,,,,,
625,https://www.finn.no/realestate/homes/ad.html?finnkode=198192081,Rålekker selveier ny i 2019 med 2 balkonger. Varmtvann og fyring inkl. Garasje kan kjøpes. Sentral beliggenhet!,"Sandakerveien 103, 0483 Oslo",4490000,Leilighet,Eier (Selveier),1,46 m²,46.0,2,2019,,,113 624 kr,4603624.0,2 421 kr,C -mørkegrønn,,,,,,,,,,
626,https://www.finn.no/realestate/homes/ad.html?finnkode=204483446,Lys og pen 2-roms gjennomgående leilighet v/ marka. Peis. Solrik balkong med fin utsikt. Rolig og idyllisk.,"Dugnadsveien 9, 0590 Oslo",3550000,Leilighet,Andel,1,57 m²,57.0,2,1952,,46 343 kr,8 614 kr,3604957.0,3 137 kr,F -oransje,,,,,,,,,,
627,https://www.finn.no/realestate/homes/ad.html?finnkode=203875003,Flott 4(5)roms toppleilighet med 2 solrike balkonger og fin utsikt. Garasjeplass med mulighet for EL-bil lader,"Høybråtenveien 23C, 1055 Oslo",3650000,Leilighet,Andel,3,103 m²,104.0,3,1976,,385 538 kr,7 974 kr,4043512.0,5 040 kr,E -rød,,,,,,,,,,
628,https://www.finn.no/realestate/homes/ad.html?finnkode=204208977,Arealeffektiv 3-roms leilighet med innglasset balkong - Oppussingsobjekt - God planløsning - Sentralt og nært marka.,"Lambertseterveien 55, 1154 Oslo",3100000,Leilighet,Andel,2,65 m²,72.0,4,1952,,120 000 kr,8 658 kr,3228658.0,3 131 kr,E -rød,,,,,,,,,,
629,https://www.finn.no/realestate/homes/ad.html?finnkode=180572163,"Lekker toppleilighet med høy standard og formidabel utsikt! Stor terrasse, balkong, heis, 4 soverom og 2 garasjeplasser.","Holmenkollveien 111 B, 0784 Oslo",18500000,Leilighet,Eier (Selveier),4,222 m²,222.0,2,1992,2106 m² (eiet),,474 070 kr,18974070.0,8 938 kr,,,,,,,,,,,
