,url,header,location,price,Boligtype,Eieform bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Energimerking,Fellesgjeld,Omkostninger,Totalpris,Felleskost/mnd.,Tomt,Tomteareal,Kommunale avg.,Bruttoareal,Rom,Renovert år,Boligselgerforsikring,Pris med fellesgjeld,Grunnflate,Festeavgift,Utleiedel
46,https://www.finn.no/realestate/homes/ad.html?finnkode=205478901,Kvadraturen / Kvartal 35 | 2-roms renoveringsobjekt | Felles bakgård og takterrasse,"Tollbodgata 73 B, 4614 Kristiansand S",890000,Leilighet,Andel,1,38 m²,38.0,2,1887,,406 070 kr,12 757 kr,1308827.0,4 031 kr,,2799 m² (eiet),,,,,,,,,
47,https://www.finn.no/realestate/homes/ad.html?finnkode=205258921,Vestnes - Fin leilighet i 2. etasje med 3 soverom og uteplass,"Foged Heibergs gate 24, 4514 Mandal",1990000,Leilighet,Eier (Selveier),3,69 m²,77.0,2,1951,G -gul,,50 920 kr,2040920.0,,,,,,,,,,,,
48,https://www.finn.no/realestate/homes/ad.html?finnkode=205513023,NYHET! Lekker og innbydende leilighet på Fevik med innendørs parkering og sjønær beliggenhet,"Randulf Hansens vei 3, 4870 Fevik",2180000,Leilighet,Eier (Selveier),1,58 m²,64.0,1,2011,C -rød,,66 070 kr,2246070.0,1 426 kr,,,7 380 kr per år,,,,,,,,
49,https://www.finn.no/realestate/homes/ad.html?finnkode=205510911,Selveierleilighet - Flytt rett inn - Mulighet for kjøp av garasje,"Skoleveien 6I, 4810 Eydehavn",1290000,Leilighet,Eier (Selveier),2,65 m²,65.0,2,2008,D -rød,,43 820 kr,1333820.0,1 662 kr,,,5 529 kr per år,,,,,,,,
50,https://www.finn.no/realestate/homes/ad.html?finnkode=205483927,Meget innholdsrik del av tomannsbolig - Garasje med direkte adkomst til boligen - Solrik balkong - God standard,"Naudebroveien 6A, 4824 Bjorbekk",3190000,Tomannsbolig,Eier (Selveier),4,132 m²,153.0,,2012,B -oransje,,93 742 kr,3283742.0,,,460 m² (eiet),9 399 kr per år,,,,,,,,
51,https://www.finn.no/realestate/homes/ad.html?finnkode=205399093,MYRA | Studioleilighet m/god planløsning og sovealkove | Perfekt førstegangskjøp | Romstølen park,"Moldfaret 4c, 4848 Arendal",1270000,Leilighet,Eier (Selveier),0,29 m²,32.0,3,2017,C -mørkegrønn,,3 642 kr,1273642.0,766 kr,,,3 337 kr per år,,,,,,,,
52,https://www.finn.no/realestate/homes/ad.html?finnkode=205489546,Lys og tiltalende topp- og endeleilighet - Nytt bad i 2019 - Solrik balkong - Sentral beliggenhet nær Sentrum og UiA,"Gimlekollen 2D, 4633 Kristiansand S",1650000,Leilighet,Eier (Selveier),1,45 m²,45.0,2,1965,G -rød,93 200 kr,44 740 kr,1787940.0,2 400 kr,,,6 008 kr per år,,,,,,,,
53,https://www.finn.no/realestate/homes/ad.html?finnkode=205364746,Innholdsrik og lettstelt tomannsbolig over 3 plan - 4 soverom og 2 bad - Koselig utestue med peis og stor terrasse,"Høyåshei 39B, 4812 Kongshavn",2700000,Tomannsbolig,Eier (Selveier),4,128 m²,172.0,,2012,,,68 842 kr,2768842.0,,,395 m² (eiet),14 054 kr per år,190 m²,,,,,,,
54,https://www.finn.no/realestate/homes/ad.html?finnkode=205486062,LUND- Lys og delikat 2-roms leilighet. Totalrenovert i 2019. Beliggende i 2. etg. med vestvendt veranda.,"Urds vei 8Y, 4632 Kristiansand S",1590000,Leilighet,Eier (Selveier),1,28 m²,28.0,2,1958,,,,,2 000 kr,,2040 m²,1 725 kr per år,,,,,,,,
55,https://www.finn.no/realestate/homes/ad.html?finnkode=184257619,Nyere enebolig med alt på en flate sentralt i Homborsund.,"Johan Markussens vei 52, 4888 Homborsund",2800000,Enebolig,Eier (Selveier),2,85 m²,88.0,,2016,B -gul,,85 670 kr,2885670.0,,,590 m² (eiet),13 579 kr per år,,,,,,,,
